"TITULO";"AUTHOR";"EDITORIAL";"PRICE";"CATEGORIA";"DESCRIPCION";"PORTADA";"STADO"
"Poema del Mio Cid";"Anonimo";"Gradifco";600.0;0.0;0.0;0.0;"Nuevo"
"El misterio del cuarto amarillo";"Leroux";"Gradifco";650.0;0.0;0.0;0.0;"Nuevo"
"Lazarillo de Tormes";"Anonimo";"Longseller";700.0;0.0;0.0;0.0;"Nuevo"
"Lazarillo de Tormes";"Anonimo";"Colihue";500.0;0.0;0.0;0.0;"Usado"
"El fantasma de Canterville";"Oscar Wilde";"Pluton";650.0;0.0;0.0;0.0;"Nuevo"
"La divina comedia";"Dante Alighieri";"Pluton";1300.0;0.0;0.0;0.0;"Nuevo"
"El libro de la selva ";"Rudyard Kipling";"Pluton";650.0;0.0;0.0;0.0;"Nuevo"
"Prometeo encadenado - Los persas";"Esquilo ";"Longseller";600.0;0.0;0.0;0.0;"Nuevo"
"El anticristo";"Friedrich Nietzsche";"Gradifco";600.0;0.0;0.0;0.0;"Nuevo"
"Asi hablo Zaratustra";"Friedrich Nietzsche";"Gradifco";600.0;0.0;0.0;0.0;"Nuevo"
"Aurora";"Friedrich Nietzsche";"Gradifco";600.0;0.0;0.0;0.0;"Nuevo"
"Ecce homo";"Friedrich Nietzsche";"Gradifco";600.0;0.0;0.0;0.0;"Nuevo"
"El caminante y su sombra";"Friedrich Nietzsche";"Gradifco";600.0;0.0;0.0;0.0;"Nuevo"
"El ocaso de los idolos";"Friedrich Nietzsche";"Gradifco";600.0;0.0;0.0;0.0;"Nuevo"
"El origen de la tragedia";"Friedrich Nietzsche";"Gradifco";600.0;0.0;0.0;0.0;"Nuevo"
"Humano, demasiado humano";"Friedrich Nietzsche";"Gradifco";600.0;0.0;0.0;0.0;"Nuevo"
"La gaya ciencia";"Friedrich Nietzsche";"Gradifco";600.0;0.0;0.0;0.0;"Nuevo"
"La genealogia de la moral";"Friedrich Nietzsche";"Gradifco";600.0;0.0;0.0;0.0;"Nuevo"
"Mas alla del bien y del mal";"Friedrich Nietzsche";"Gradifco";600.0;0.0;0.0;0.0;"Nuevo"
"El fin de la infancia";"Arthur C. Clarke";"Minotauro";900.0;0.0;0.0;0.0;"Nuevo"
"El hombre ilustrado";"Ray Bradbury";"Minotauro";900.0;0.0;0.0;0.0;"Nuevo"
"La mano izquierda de la oscuridad";"Ursula K. Le Guin";"Minotauro";900.0;0.0;0.0;0.0;"Nuevo"
"Un mundo feliz";"Aldous Huxley";"Arenal";800.0;0.0;0.0;0.0;"Nuevo"
"El señor de las moscas";"William Golding";"Arenal";800.0;0.0;0.0;0.0;"Nuevo"
"El diario de Ana Frank";"Ana Frank";"Agebe";750.0;0.0;0.0;0.0;"Nuevo"
"Curame";"Lorena Pronsky";"Hojas del sur";1800.0;0.0;0.0;0.0;"Nuevo"
"No amaras";"Lorena Pronsky";"Vergara";2200.0;0.0;0.0;0.0;"Nuevo"
"Polaris y otros relatos";"H. P. Lovecraft";"Tolemia";650.0;0.0;0.0;0.0;"Nuevo"
"Del mas alla y otros relatos";"H. P. Lovecraft";"Tolemia";650.0;0.0;0.0;0.0;"Nuevo"
"Herbert West, resucitador";"H. P. Lovecraft";"Tolemia";650.0;0.0;0.0;0.0;"Nuevo"
"La casa maldita y otros relatos";"H. P. Lovecraft";"Tolemia";650.0;0.0;0.0;0.0;"Nuevo"
"El devorador de fantasmas";"H. P. Lovecraft";"Tolemia";650.0;0.0;0.0;0.0;"Nuevo"
"En las montañas de la locura";"H. P. Lovecraft";"Tolemia";650.0;0.0;0.0;0.0;"Nuevo"
"El lazo de la medusa";"H. P. Lovecraft";"Tolemia";650.0;0.0;0.0;0.0;"Nuevo"
"El caso de Charles Ward";"H. P. Lovecraft";"Tolemia";650.0;0.0;0.0;0.0;"Nuevo"
"La sombra sobre Innsmouh";"H. P. Lovecraft";"Tolemia";650.0;0.0;0.0;0.0;"Nuevo"
"La virgen de los sicarios";"Fernando Vallejos";"Octaedro";600.0;0.0;0.0;0.0;"Nuevo"
"Fahrenheit 451";"Ray Bradbury";"Octaedro";600.0;0.0;0.0;0.0;"Nuevo"
"La exhibicion de las atrocidades";"J. G. Ballard";"Octaedro";600.0;0.0;0.0;0.0;"Nuevo"
"La mascara de la muerte roja";"Edgar Allan Poe";"Dama";550.0;0.0;0.0;0.0;"Nuevo"
"En la colonia penitenciaria";"Franz Kafka";"Dama";550.0;0.0;0.0;0.0;"Nuevo"
"Edgar Allan Poe 1809 - 1849";"Edgar Allan Poe";"Batiscafo";500.0;0.0;0.0;0.0;"Nuevo"
"El diario de Ana Frank";"Ana Frank";"Edicol";750.0;0.0;0.0;0.0;"Nuevo"
"El demonio y la srita. Prym";"Paulo Coehlo ";"La Nacion";550.0;0.0;0.0;0.0;"Usado"
"El libro de las revelaciones";"Mario Mendoza";"Planeta";800.0;0.0;0.0;0.0;"Nuevo"
"Frankenstein";"Mary Shelley";"Agebe";800.0;0.0;0.0;0.0;"Nuevo"
"Sobre el amor y la muerte";"Patrick Suskind";"Seix Barrial";1800.0;0.0;0.0;0.0;"Nuevo"
"La importancia de llamarse Ernesto";"Oscar Wilde";"Mawis";400.0;0.0;0.0;0.0;"Nuevo"
"La Eneida";"Virgilio";"Fontana";550.0;0.0;0.0;0.0;"Nuevo"
"Los Cuadernos De Don Rigoberto";"Mario Vagas Llosa";"Alfaguara";1000.0;0.0;0.0;0.0;"Nuevo"
"Monologos de la vagina";"Eve Ensler";"Planeta";700.0;0.0;0.0;0.0;"Usado"
"Cuentos de amor, de locura y de muerte";"Horacio Quiroga";"Agebe";650.0;0.0;0.0;0.0;"Nuevo"
"Yerma";"Federico G. Lorca";"Agebe";600.0;0.0;0.0;0.0;"Nuevo"
"Autobiografia sucinta";"Witold Gombrowicz";"Anagrama";650.0;0.0;0.0;0.0;"Nuevo"
"Bonsai";"Alejandro Zambra";"Anagrama";650.0;0.0;0.0;0.0;"Nuevo"
"Catedral y otros cuentos";"Raymond Carver";"Anagrama";650.0;0.0;0.0;0.0;"Nuevo"
"Damas chinas";"Mario Bellatin";"Anagrama";650.0;0.0;0.0;0.0;"Nuevo"
"Duo";"Colette";"Anagrama";650.0;0.0;0.0;0.0;"Nuevo"
"El hombre que confundio a su mujer …";"Oliver Sacks";"Anagrama";650.0;0.0;0.0;0.0;"Nuevo"
"El perdedor radical";"Hans Magnus Enzensberger";"Anagrama";650.0;0.0;0.0;0.0;"Nuevo"
"Escritos sobre la cocaina";"Sigmund Freud";"Anagrama";650.0;0.0;0.0;0.0;"Nuevo"
"Historia del llanto";"Alan Pauls";"Anagrama";650.0;0.0;0.0;0.0;"Nuevo"
"Humo";"Djuna Barnes";"Anagrama";650.0;0.0;0.0;0.0;"Nuevo"
"La dominacion masculina y otros ensayos";"Pierre Bourdieu";"Anagrama";650.0;0.0;0.0;0.0;"Nuevo"
"La guerra del futbol";"Ryszard Kapuscinski";"Anagrama";650.0;0.0;0.0;0.0;"Nuevo"
"La izquierda divina";"Jean Baudrillard";"Anagrama";650.0;0.0;0.0;0.0;"Nuevo"
"Cuentos de la selva";"Horacio Quiroga";"Agebe";650.0;0.0;0.0;0.0;"Nuevo"
"La mesa limon y otros cuentos";"Julian Barnes";"Anagrama";650.0;0.0;0.0;0.0;"Nuevo"
