TITULO,AUTHOR,EDITORIAL,PRICE,CATEGORIA,DESCRIPCION,PORTADA,STADO
"El anticristo","Friedrich Nietzsche",Gradifco,600,NULL,NULL,NULL,Nuevo
"Asi hablo Zaratustra","Friedrich Nietzsche",Gradifco,600,NULL,NULL,NULL,Nuevo
Aurora,"Friedrich Nietzsche",Gradifco,600,NULL,NULL,NULL,Nuevo
"Ecce homo","Friedrich Nietzsche",Gradifco,600,NULL,NULL,NULL,Nuevo
"El caminante y su sombra","Friedrich Nietzsche",Gradifco,600,NULL,NULL,NULL,Nuevo
"El ocaso de los idolos","Friedrich Nietzsche",Gradifco,600,NULL,NULL,NULL,Nuevo
"El origen de la tragedia","Friedrich Nietzsche",Gradifco,600,NULL,NULL,NULL,Nuevo
"Humano, demasiado humano","Friedrich Nietzsche",Gradifco,600,NULL,NULL,NULL,Nuevo
"La gaya ciencia","Friedrich Nietzsche",Gradifco,600,NULL,NULL,NULL,Nuevo
"La genealogia de la moral","Friedrich Nietzsche",Gradifco,600,NULL,NULL,NULL,Nuevo
"Mas alla del bien y del mal","Friedrich Nietzsche",Gradifco,600,NULL,NULL,NULL,Nuevo
"El fin de la infancia","Arthur C. Clarke",Minotauro,900,NULL,NULL,NULL,Nuevo
"El hombre ilustrado","Ray Bradbury",Minotauro,900,NULL,NULL,NULL,Nuevo
"La mano izquierda de la oscuridad","Ursula K. Le Guin",Minotauro,900,NULL,NULL,NULL,Nuevo
"Un mundo feliz","Aldous Huxley",Arenal,800,NULL,NULL,NULL,Nuevo
"El señor de las moscas","William Golding",Arenal,800,NULL,NULL,NULL,Nuevo
"El diario de Ana Frank","Ana Frank",Agebe,750,NULL,NULL,NULL,Nuevo
Curame,"Lorena Pronsky","Hojas del sur",1800,NULL,NULL,NULL,Nuevo
"No amaras","Lorena Pronsky",Vergara,2200,NULL,NULL,NULL,Nuevo
"Polaris y otros relatos","H. P. Lovecraft",Tolemia,650,NULL,NULL,NULL,Nuevo
"Del mas alla y otros relatos","H. P. Lovecraft",Tolemia,650,NULL,NULL,NULL,Nuevo
"Herbert West, resucitador","H. P. Lovecraft",Tolemia,650,NULL,NULL,NULL,Nuevo
"La casa maldita y otros relatos","H. P. Lovecraft",Tolemia,650,NULL,NULL,NULL,Nuevo
"El devorador de fantasmas","H. P. Lovecraft",Tolemia,650,NULL,NULL,NULL,Nuevo
"En las montañas de la locura","H. P. Lovecraft",Tolemia,650,NULL,NULL,NULL,Nuevo
"El lazo de la medusa","H. P. Lovecraft",Tolemia,650,NULL,NULL,NULL,Nuevo
